id;director_name;original_title;vote_average;genres;release_date;actor1_name;actor2_name;actor3_name;actor4_name;actor5_name
2;Aki Kaurismäki;Ariel;7.1;Drama|Crime;21/10/1988;Turo Pajala;Susanna Haavisto;Matti Pellonpää;Eetu Hilkamo;none
3;Aki Kaurismäki;Varjoja paratiisissa;7.0;Drama|Comedy;16/10/1986;Matti Pellonpää;Kati Outinen;Sakari Kuosmanen;Esko Nikkari;Kylli Köngäs
5;Allison Anders;Four Rooms;6.5;Crime|Comedy;25/12/1995;Tim Roth;Antonio Banderas;Jennifer Beals;Madonna;Marisa Tomei
6;Stephen Hopkins;Judgment Night;6.5;Action|Thriller|Crime;15/10/1993;Emilio Estevez;Cuba Gooding Jr.;Denis Leary;Jeremy Piven;Peter Greene
8;Timo Novotny;Life in Loops (A Megacities RMX);6.4;Documentary;1/01/2006;none;none;none;none;none
9;Marc Meyer;Sonntag im August;5.3;Drama;2/09/2004;Rita Lengyel;Milton Welsh;none;none;none
11;George Lucas;Star Wars;8.0;Adventure|Action|Science Fiction;25/05/1977;Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness
12;Andrew Stanton;Finding Nemo;7.6;Animation|Family;30/05/2003;Albert Brooks;Ellen DeGeneres;Alexander Gould;Willem Dafoe;Brad Garrett
13;Robert Zemeckis;Forrest Gump;8.2;Comedy|Drama|Romance;6/07/1994;Tom Hanks;Robin Wright;Gary Sinise;Mykelti Williamson;Sally Field
14;Sam Mendes;American Beauty;7.9;Drama;15/09/1999;Kevin Spacey;Annette Bening;Thora Birch;Wes Bentley;Mena Suvari
15;Orson Welles;Citizen Kane;7.9;Mystery|Drama;30/04/1941;Orson Welles;Joseph Cotten;Dorothy Comingore;Ray Collins;George Coulouris
16;Lars von Trier;Dancer in the Dark;7.6;Drama|Crime|Music;17/05/2000;Björk;Catherine Deneuve;David Morse;Peter Stormare;Joel Grey
17;John Fawcett;The Dark;5.6;Horror|Thriller|Mystery;26/01/2006;Sean Bean;Maria Bello;Richard Elfyn;Maurice Roeves;Abigail Stone
18;Luc Besson;The Fifth Element;7.2;Adventure|Fantasy|Action|Thriller|Science Fiction;7/05/1997;Bruce Willis;Gary Oldman;Ian Holm;Milla Jovovich;Chris Tucker
19;Fritz Lang;Metropolis;8.0;Drama|Science Fiction;10/01/1927;Brigitte Helm;Alfred Abel;Gustav Fröhlich;Rudolf Klein-Rogge;Fritz Rasp
20;Isabel Coixet;My Life Without Me;7.2;Drama|Romance;7/03/2003;Sarah Polley;Amanda Plummer;Scott Speedman;Leonor Watling;Deborah Harry
21;Bruce Brown;The Endless Summer;7.8;Documentary;15/06/1966;none;Michael Hynson;Robert August;Lord 'Tally Ho' Blears;Bruce Brown
22;Gore Verbinski;Pirates of the Caribbean: The Curse of the Black Pearl;7.4;Adventure|Fantasy|Action;9/07/2003;Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport
24;Quentin Tarantino;Kill Bill: Vol. 1;7.7;Action|Crime;10/10/2003;Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine
25;Sam Mendes;Jarhead;6.5;Drama|War;4/11/2005;Jamie Foxx;Scott MacDonald;none;Lucas Black;Peter Sarsgaard
26;Eytan Fox;LaLehet Al HaMayim;6.4;Drama;5/02/2004;Lior Ashkenazi;Knut Berger;Caroline Peters;Gideon Shemer;Carola Regnier
